"Business ID","cuisine"
"uaFHoq-a5XqxF-bsOK9_Qg","chinese"
"FXhSEZfIqjMZh4hR0_8jMQ","chinese"
"PqqnNrUtU7XTKQvUM4cyqQ","mexican"
"SzH79XjUPoTYBnE3dybRsw","mediteranian"
"FXDMFBM-rV2s5MHzA33d2g","indian"
"SH3ZyDP30_WTsU4gXaAgHw","mexican"
"5F9kZPnAleDYqCeCyvGJPA","italian"
"s5N-w7EPY3DA68id5qycyA","turkish"
"kZ5q8Uwxt3MpLcvxEdPeFg","thai"
"ifIfq2EwEohCgoKnG68_LA","italian"
"0Tvwk0hvgaY0QVIsZGTZKQ","mediteranian"
"nI1UYDCYUTt23TpGxqnLKg","chinese"
"oucUhaQjSEeJb2F3rVRR_Q","turkish"
"h37t9rA06Sr4EetJjKrfzw","italian"
"UC3n_0vZ5zI1fvi7UzNZAg","thai"
"VoAuIReq_cPUrFwxbWqG_Q","thai"
"wEawMdWT7UtZjEmmMTBiGA","thai"
"Knbn0h4MA1KX5Fv3eZfK4w","mediteranian"
"4FD0TAxe70nb3ngk3sXF9Q","chinese"
"A-ert0jDRBfku9ogyW_mEg","chinese"
"A-ert0jDRBfku9ogyW_mEg","indian"
"_4ztTCCumLK79ZJkNqL3ZQ","mediteranian"
"ry7XCoXXxS0DxRmzZLFybw","mexican"
"SOWmvC20kikJBoWE3TmppA","mexican"
"oJ6fy4fBv_3WskxH4NfNBg","chinese"
"vx2JV9juVzSBRGWHOZCTAQ","turkish"
"7bD22UAtH56ikWYslOSIQg","mexican"
"mTWlEiCUEBlxBAkIikkB1A","italian"
"croh2zWlbPyCQTNS11klcg","chinese"
"xGoSAOhQBNdJMJmPn7CMDQ","mexican"
"jjJc_CrkB2HodEinB6cWww","thai"
"jxfNkW2RkXhUW5_DwWEbHQ","turkish"
"CEdTPBK6HBjpUP_zLDdrlQ","indian"
"BPyt7S9TdcR1u571iacg7g","indian"
"MOwB9YYd-Ko6nVgSB-ltQw","italian"
"y-TIqdZsklh9TyDfRsM01Q","mediteranian"
"_IXwnlEd4DsiXuruRiRl9Q","turkish"
"0axnkZlDiQcJVc06DDXxGQ","italian"
"ojbH3wnRu050hRhkmoxRiA","chinese"
"yQ7K4uFnxXxpBVbnOSR8kA","italian"
"sBCJYLPNJuagg-aJ3Y_ozQ","chinese"
"wDuf4Qz9qsC62amLZgWNJQ","chinese"
"2VDKr3954XX41KwEcbX7lg","mediteranian"
"k8ktbWDK1OoTpoAxVD1DWA","mediteranian"
"6gDUVNZo0E9lxO2DkAhHOQ","mediteranian"
"qBGKigOGn_flCx1apxPzlA","italian"
"cuUmPDEY-1KXzShGdpsqag","turkish"
"hzPSNFwMVzMAkmdtLROJow","turkish"
"u_CnSp9FieAuWqhvCn-A2A","indian"
"vVVmHacu2YAxKfpIjhfd1g","italian"
"NN3mOWF5e_pnR1ArqM2bHQ","thai"
"PAJdNrD4HFBN16OAFeDx4A","mexican"
